Ligand ID,Entry Name,prefix,Top Gene Name,binding_terminus,confidence,tier
OG0244,IL8_HUMAN,IL8,CXCL8,N-terminus,moderate,Low
OG0246,CCL20_HUMAN,CCL20,CCL20,N-terminus,moderate,Low
OG0249,CXCL5_HUMAN,CXCL5,CXCL5,Neither (structural surface),high,Low
OG0250,CXCL7_HUMAN,CXCL7,PPBP,N-terminus,moderate,Low
OG0251,GROA_HUMAN,GROA,CXCL1,N-terminus,moderate,Low
OG0252,IGF1_HUMAN,IGF1,IGF1,Unknown,none,Unclassified
OG0253,IL8_HUMAN,IL8,CXCL8,N-terminus,moderate,Low
OG0255,PLF4_HUMAN,PLF4,PF4,N-terminus,moderate,Low
OG0256,SDF1_HUMAN,SDF1,CXCL12,N-terminus,moderate,Low
OG0257,CCL14_HUMAN,CCL14,CCL14,N-terminus,moderate,Low
OG0259,CCL17_HUMAN,CCL17,CCL17,N-terminus,moderate,Low
OG0261,CCL8_HUMAN,CCL8,CCL8,N-terminus,moderate,Low
OG0262,CXCL5_HUMAN,CXCL5,CXCL5,Neither (structural surface),high,Low
OG0263,GAST_HUMAN,GAST,GAST,C-terminus,high,High
OG0264,IL8_HUMAN,IL8,CXCL8,N-terminus,moderate,Low
OG0266,CCL14_HUMAN,CCL14,CCL14,N-terminus,moderate,Low
OG0268,FGF23_HUMAN,FGF23,FGF23,Neither (structural surface),high,Low
OG0269,IL8_HUMAN,IL8,CXCL8,N-terminus,moderate,Low
OG0273,CXCL2_HUMAN,CXCL2,CXCL2,N-terminus,moderate,Low
OG0274,CXCL3_HUMAN,CXCL3,CXCL3,N-terminus,moderate,Low
OG0275,CXCL7_HUMAN,CXCL7,PPBP,N-terminus,moderate,Low
OG0276,CXL10_HUMAN,CXL10,CXCL10,N-terminus,moderate,Low
OG0277,CXL11_HUMAN,CXL11,CXCL11,N-terminus,moderate,Low
OG0278,GROA_HUMAN,GROA,CXCL1,N-terminus,moderate,Low
OG0279,IL8_HUMAN,IL8,CXCL8,N-terminus,moderate,Low
OG0280,PENK_HUMAN,PENK,PENK,Unknown,none,Unclassified
